EVENT_ID  ISSUE_ID  TYPE        CREATION_DATE                ACTOR               TITLE
 4015261931 15452 | closed | 2020-11-19T11:07:46Z | joaomoreno | Support per-window variable environments
 4015260716 110931 | labeled | 2020-11-19T11:07:29Z | vscode-triage-bot | Apple silicon(m1) version run node cause err: Extension host terminated unexpectedly
 4015259598 110939 | labeled | 2020-11-19T11:07:10Z | deepak1556 | Exploration: workbench.action.toggleSidebarPosition smoke test failure on macOS
 4015259597 110939 | labeled | 2020-11-19T11:07:10Z | deepak1556 | Exploration: workbench.action.toggleSidebarPosition smoke test failure on macOS
 4015257276 55194 | subscribed | 2020-11-19T11:06:35Z | segevfiner | Correctly inherit/don't inherit the shell environment
 4015257273 55194 | mentioned | 2020-11-19T11:06:35Z | segevfiner | Correctly inherit/don't inherit the shell environment
 4015257271 55194 | subscribed | 2020-11-19T11:06:35Z | joaomoreno | Correctly inherit/don't inherit the shell environment
 4015257266 55194 | mentioned | 2020-11-19T11:06:35Z | joaomoreno | Correctly inherit/don't inherit the shell environment
 4015249237 110928 | assigned | 2020-11-19T11:04:34Z | alexr00 | Option to hide helper tasks in tasks.json
 4015249178 110929 | assigned | 2020-11-19T11:04:33Z | alexdima | Very fast touch scrolling
 4015249112 110931 | assigned | 2020-11-19T11:04:32Z | weinand | Apple silicon(m1) version run node cause err: Extension host terminated unexpectedly
 4015249046 110934 | assigned | 2020-11-19T11:04:31Z | rebornix | Cannot export Python Jupyter Notebook
 4015248961 110935 | assigned | 2020-11-19T11:04:30Z | bpasero | Pinned tabs on dragged tabs
 4015240299 108804 | subscribed | 2020-11-19T11:02:35Z | joaomoreno | Create an IProcessEnvService for resolving the merged process environment based on context
 4015240294 108804 | mentioned | 2020-11-19T11:02:35Z | joaomoreno | Create an IProcessEnvService for resolving the merged process environment based on context
 4015227249 110937 | labeled | 2020-11-19T10:59:37Z | weinand | macOS Big Sur: once in a while I see a "Shipit" crash
 4015226013 110936 | labeled | 2020-11-19T10:59:18Z | deepak1556 | ci: Error: Unknown terminal: 23 in integration tests
 4015191520 110927 | subscribed | 2020-11-19T10:51:26Z | polinasok | Please suppress duplicate threads requests
 4015191515 110927 | mentioned | 2020-11-19T10:51:26Z | polinasok | Please suppress duplicate threads requests
 4015190323 110855 | head_ref_deleted | 2020-11-19T10:51:11Z | jrieken | Remove transform output calls
 4015190223 110855 | closed | 2020-11-19T10:51:10Z | jrieken | Remove transform output calls
​ 4015190204 110855 | merged | 2020-11-19T10:51:10Z | jrieken | Remove transform output calls
​ 4015190199 110855 | referenced | 2020-11-19T10:51:10Z | jrieken | Remove transform output calls
​ 4015186593 110927 | labeled | 2020-11-19T10:50:19Z | weinand | Please suppress duplicate threads requests
​ 4015186319 110927 | labeled | 2020-11-19T10:50:14Z | weinand | Please suppress duplicate threads requests
